period_high, period_low, ratio, date
1293, 574180, 3.024464, 2021-06-21T19:58:25.739Z
1296, 575852, 3.026250, 2021-06-21T19:58:40.740Z
1292, 576542, 3.039256, 2021-06-21T19:58:55.741Z
1328, 574182, 2.944763, 2021-06-21T19:59:10.742Z
1330, 575874, 2.949000, 2021-06-21T19:59:25.745Z
1330, 573984, 2.939321, 2021-06-21T19:59:40.745Z
1326, 574122, 2.948897, 2021-06-21T19:59:55.746Z
1324, 574256, 2.954041, 2021-06-21T20:00:10.745Z
1308, 573882, 2.988229, 2021-06-21T20:00:25.746Z
1308, 574666, 2.992311, 2021-06-21T20:00:40.747Z
1330, 576272, 2.951038, 2021-06-21T20:00:55.748Z
1326, 574388, 2.950263, 2021-06-21T20:01:10.749Z
1290, 576924, 3.045985, 2021-06-21T20:01:25.750Z
1288, 575850, 3.045036, 2021-06-21T20:01:40.750Z
1330, 576112, 2.950219, 2021-06-21T20:01:55.886Z
1336, 576544, 2.939172, 2021-06-21T20:02:25.870Z
1292, 578058, 3.047248, 2021-06-21T20:02:40.879Z
1332, 577424, 2.952497, 2021-06-21T20:02:55.755Z
1334, 576532, 2.943517, 2021-06-21T20:03:10.756Z
1338, 577358, 2.938921, 2021-06-21T20:03:25.757Z
1348, 577514, 2.917908, 2021-06-21T20:03:40.759Z
1298, 577704, 3.031305, 2021-06-21T20:03:55.758Z
1300, 577358, 3.024828, 2021-06-21T20:04:10.759Z
1338, 577836, 2.941355, 2021-06-21T20:04:25.760Z
1344, 579750, 2.937923, 2021-06-21T20:04:40.761Z
1340, 581578, 2.955984, 2021-06-21T20:04:55.763Z
1304, 581194, 3.035585, 2021-06-21T20:05:10.762Z
1342, 581156, 2.949437, 2021-06-21T20:05:25.763Z
1308, 581490, 3.027843, 2021-06-21T20:05:40.764Z
1307, 581448, 3.029941, 2021-06-21T20:05:55.765Z
1323, 581360, 2.992845, 2021-06-21T20:06:10.766Z
1348, 582188, 2.941523, 2021-06-21T20:06:25.768Z
1400, 583614, 2.839204, 2021-06-21T20:06:40.769Z
1312, 581726, 3.019837, 2021-06-21T20:06:55.769Z
1311, 583948, 3.033684, 2021-06-21T20:07:10.769Z
1356, 581572, 2.921075, 2021-06-21T20:07:25.770Z
1356, 583496, 2.930739, 2021-06-21T20:07:40.786Z
1316, 582932, 3.016900, 2021-06-21T20:07:55.777Z
1317, 582470, 3.012220, 2021-06-21T20:08:10.785Z
1332, 583578, 2.983964, 2021-06-21T20:08:25.792Z
1320, 583754, 3.011999, 2021-06-21T20:08:40.811Z
1320, 581900, 3.002433, 2021-06-21T20:08:55.776Z
1324, 582228, 2.995050, 2021-06-21T20:09:10.776Z
1362, 582726, 2.913977, 2021-06-21T20:09:25.784Z
1378, 581620, 2.874677, 2021-06-21T20:09:55.839Z
1342, 583448, 2.961069, 2021-06-21T20:10:10.783Z
1330, 581730, 2.978988, 2021-06-21T20:10:25.834Z
1372, 582328, 2.890763, 2021-06-21T20:10:40.811Z
1333, 582304, 2.975216, 2021-06-21T20:10:55.830Z
1428, 582510, 2.778268, 2021-06-21T20:11:10.854Z
1354, 582770, 2.931416, 2021-06-21T20:11:25.870Z
1358, 584768, 2.932802, 2021-06-21T20:11:40.834Z
1348, 582896, 2.945101, 2021-06-21T20:11:55.870Z
1396, 583060, 2.844636, 2021-06-21T20:12:10.869Z
1344, 585364, 2.966372, 2021-06-21T20:12:25.881Z
1344, 583290, 2.955862, 2021-06-21T20:12:40.894Z
