period_high, period_low, ratio, date
1990, 740258, 2.533547, 2021-06-21T23:38:11.524Z
1872, 740066, 2.692549, 2021-06-21T23:38:26.541Z
1876, 742308, 2.694947, 2021-06-21T23:38:41.542Z
1876, 739362, 2.684252, 2021-06-21T23:38:56.514Z
1914, 740914, 2.636482, 2021-06-21T23:39:11.508Z
1916, 740890, 2.633645, 2021-06-21T23:39:26.508Z
1916, 739432, 2.628462, 2021-06-21T23:39:41.516Z
1874, 740786, 2.692292, 2021-06-21T23:39:56.526Z
1980, 743000, 2.555774, 2021-06-21T23:40:11.559Z
1980, 741546, 2.550773, 2021-06-21T23:40:26.560Z
1854, 739330, 2.715986, 2021-06-21T23:40:41.513Z
1856, 739682, 2.714351, 2021-06-21T23:40:56.513Z
1980, 740368, 2.546721, 2021-06-21T23:41:11.516Z
1860, 740770, 2.712497, 2021-06-21T23:41:26.515Z
1870, 742254, 2.703397, 2021-06-21T23:41:41.516Z
1868, 739762, 2.697206, 2021-06-21T23:41:56.517Z
1872, 740186, 2.692985, 2021-06-21T23:42:11.547Z
1874, 738688, 2.684667, 2021-06-21T23:42:26.530Z
1844, 739184, 2.730175, 2021-06-21T23:42:41.521Z
1874, 739456, 2.687458, 2021-06-21T23:42:56.520Z
1876, 740680, 2.689037, 2021-06-21T23:43:11.524Z
1916, 742248, 2.638472, 2021-06-21T23:43:26.522Z
1916, 739138, 2.627417, 2021-06-21T23:43:41.523Z
1854, 740528, 2.720387, 2021-06-21T23:43:56.524Z
1869, 743234, 2.708415, 2021-06-21T23:44:11.525Z
1850, 740270, 2.725319, 2021-06-21T23:44:26.529Z
2234, 739562, 2.254708, 2021-06-21T23:44:41.605Z
1962, 740434, 2.570314, 2021-06-21T23:44:56.621Z
1868, 741558, 2.703754, 2021-06-21T23:45:11.624Z
1876, 741500, 2.692014, 2021-06-21T23:45:26.627Z
1870, 738744, 2.690613, 2021-06-21T23:45:41.645Z
1846, 738862, 2.726030, 2021-06-21T23:45:56.552Z
1998, 738780, 2.518364, 2021-06-21T23:46:11.549Z
1848, 739030, 2.723698, 2021-06-21T23:46:26.592Z
1872, 739524, 2.690577, 2021-06-21T23:46:41.616Z
1876, 738886, 2.682523, 2021-06-21T23:46:56.629Z
1872, 738502, 2.686858, 2021-06-21T23:47:11.598Z
1916, 740580, 2.632542, 2021-06-21T23:47:26.609Z
1922, 744148, 2.636968, 2021-06-21T23:47:41.621Z
1864, 743014, 2.714876, 2021-06-21T23:47:56.594Z
1882, 741350, 2.682889, 2021-06-21T23:48:11.631Z
1866, 741628, 2.706908, 2021-06-21T23:48:26.646Z
