period_high, period_low, ratio, date
1816, 712882, 2.673626, 2021-06-18T18:29:25.383Z
1852, 710300, 2.612160, 2021-06-18T18:29:40.354Z
1838, 716426, 2.654757, 2021-06-18T18:29:55.312Z
1838, 715190, 2.650177, 2021-06-18T18:30:10.313Z
1826, 709120, 2.644952, 2021-06-18T18:30:25.317Z
1852, 712696, 2.620971, 2021-06-18T18:30:40.314Z
1848, 708220, 2.610148, 2021-06-18T18:30:55.316Z
1836, 713592, 2.647136, 2021-06-18T18:31:10.316Z
1869, 716770, 2.611978, 2021-06-18T18:31:25.317Z
1842, 717542, 2.653118, 2021-06-18T18:31:40.318Z
1890, 712990, 2.569334, 2021-06-18T18:31:55.319Z
1856, 711358, 2.610413, 2021-06-18T18:32:10.320Z
1820, 710536, 2.658971, 2021-06-18T18:32:25.321Z
1826, 708138, 2.641290, 2021-06-18T18:32:40.323Z
1844, 713712, 2.636095, 2021-06-18T18:32:55.322Z
1810, 717078, 2.698278, 2021-06-18T18:33:10.323Z
1818, 716464, 2.684104, 2021-06-18T18:33:25.326Z
1892, 710120, 2.556287, 2021-06-18T18:33:40.325Z
1857, 713100, 2.615396, 2021-06-18T18:33:55.326Z
1812, 714988, 2.687444, 2021-06-18T18:34:10.327Z
1814, 710564, 2.667871, 2021-06-18T18:34:25.328Z
1863, 710546, 2.597636, 2021-06-18T18:34:40.353Z
1868, 711058, 2.592550, 2021-06-18T18:34:55.345Z
1873, 709424, 2.579687, 2021-06-18T18:35:10.343Z
1840, 715018, 2.646659, 2021-06-18T18:35:25.335Z
1852, 717810, 2.639778, 2021-06-18T18:35:40.345Z
1890, 710872, 2.561702, 2021-06-18T18:35:55.338Z
1872, 716766, 2.607777, 2021-06-18T18:36:10.334Z
1848, 717800, 2.645455, 2021-06-18T18:36:25.335Z
1824, 711636, 2.657248, 2021-06-18T18:36:40.337Z
1942, 708740, 2.485631, 2021-06-18T18:36:55.336Z
1862, 709118, 2.593807, 2021-06-18T18:37:10.337Z
1828, 708486, 2.639697, 2021-06-18T18:37:25.339Z
1830, 709762, 2.641561, 2021-06-18T18:37:40.345Z
1822, 709526, 2.652277, 2021-06-18T18:37:55.350Z
1846, 709390, 2.617293, 2021-06-18T18:38:10.341Z
1872, 708672, 2.578329, 2021-06-18T18:38:25.342Z
1866, 710224, 2.592284, 2021-06-18T18:38:40.342Z
1838, 712046, 2.638526, 2021-06-18T18:38:55.343Z
1872, 709784, 2.582375, 2021-06-18T18:39:10.348Z
1878, 710150, 2.575452, 2021-06-18T18:39:25.345Z
1858, 718488, 2.633739, 2021-06-18T18:39:40.346Z
1882, 712752, 2.579394, 2021-06-18T18:39:55.349Z
1884, 711736, 2.572983, 2021-06-18T18:40:10.348Z
1848, 711298, 2.621492, 2021-06-18T18:40:25.352Z
1866, 710182, 2.592131, 2021-06-18T18:40:40.350Z
1870, 712822, 2.596202, 2021-06-18T18:40:55.352Z
1722, 717054, 2.836075, 2021-06-18T18:41:10.351Z
1800, 708162, 2.679533, 2021-06-18T18:41:25.352Z
1862, 710966, 2.600567, 2021-06-18T18:41:40.353Z
1984, 714178, 2.451680, 2021-06-18T18:41:55.355Z
1828, 712988, 2.656470, 2021-06-18T18:42:10.354Z
1840, 710554, 2.630136, 2021-06-18T18:42:25.356Z
1838, 717788, 2.659804, 2021-06-18T18:42:40.356Z
1978, 710044, 2.444882, 2021-06-18T18:42:55.357Z
1921, 717878, 2.545202, 2021-06-18T18:43:10.358Z
1928, 711476, 2.513345, 2021-06-18T18:43:25.359Z
1876, 710474, 2.579374, 2021-06-18T18:43:40.362Z
1888, 710084, 2.561573, 2021-06-18T18:43:55.364Z
1912, 713728, 2.542399, 2021-06-18T18:44:10.362Z
1820, 712812, 2.667488, 2021-06-18T18:44:25.362Z
1874, 710426, 2.581952, 2021-06-18T18:44:40.364Z
1838, 709268, 2.628232, 2021-06-18T18:44:55.364Z
1850, 709302, 2.611310, 2021-06-18T18:45:10.374Z
1836, 713002, 2.644947, 2021-06-18T18:45:25.366Z
1850, 709334, 2.611428, 2021-06-18T18:45:40.369Z
1894, 710418, 2.554659, 2021-06-18T18:45:55.369Z
1876, 709220, 2.574821, 2021-06-18T18:46:10.368Z
1892, 712950, 2.566474, 2021-06-18T18:46:25.370Z
1860, 718084, 2.629427, 2021-06-18T18:46:40.370Z
1872, 716942, 2.608417, 2021-06-18T18:46:55.371Z
1818, 710478, 2.661679, 2021-06-18T18:47:10.372Z
1854, 711416, 2.613442, 2021-06-18T18:47:25.373Z
1850, 711384, 2.618974, 2021-06-18T18:47:40.374Z
1930, 710356, 2.506788, 2021-06-18T18:47:55.376Z
1926, 712976, 2.521259, 2021-06-18T18:48:10.376Z
1895, 711352, 2.556668, 2021-06-18T18:48:25.405Z
1955, 715296, 2.491942, 2021-06-18T18:48:40.384Z
1948, 717446, 2.508414, 2021-06-18T18:48:55.378Z
1854, 719386, 2.642720, 2021-06-18T18:49:10.379Z
1854, 710434, 2.609834, 2021-06-18T18:49:25.381Z
1996, 718788, 2.452671, 2021-06-18T18:49:40.381Z
1860, 713376, 2.612188, 2021-06-18T18:49:55.382Z
1854, 710966, 2.611789, 2021-06-18T18:50:10.383Z
1873, 715548, 2.601956, 2021-06-18T18:50:25.401Z
1992, 718916, 2.458033, 2021-06-18T18:50:40.420Z
