period_high, period_low, ratio, date
1802, 740776, 2.799826, 2021-06-21T22:29:26.351Z
1802, 740012, 2.796938, 2021-06-21T22:29:41.363Z
1804, 738162, 2.786853, 2021-06-21T22:29:56.358Z
1800, 738940, 2.795990, 2021-06-21T22:30:11.473Z
1805, 741076, 2.796304, 2021-06-21T22:30:26.392Z
1826, 739362, 2.757752, 2021-06-21T22:30:41.382Z
1840, 738914, 2.735111, 2021-06-21T22:30:56.271Z
1832, 740398, 2.752572, 2021-06-21T22:31:11.395Z
1844, 738006, 2.725825, 2021-06-21T22:31:26.394Z
1846, 740616, 2.732501, 2021-06-21T22:31:41.274Z
1806, 737496, 2.781255, 2021-06-21T22:31:56.649Z
1794, 740120, 2.809821, 2021-06-21T22:32:11.328Z
1826, 739642, 2.758797, 2021-06-21T22:32:26.327Z
1806, 736776, 2.778540, 2021-06-21T22:32:41.278Z
1832, 739492, 2.749204, 2021-06-21T22:32:56.303Z
1836, 739378, 2.742791, 2021-06-21T22:33:11.307Z
1796, 736728, 2.793829, 2021-06-21T22:33:26.279Z
1796, 738318, 2.799858, 2021-06-21T22:33:41.303Z
1802, 740732, 2.799660, 2021-06-21T22:33:56.314Z
1832, 740554, 2.753152, 2021-06-21T22:34:11.326Z
1814, 737448, 2.768809, 2021-06-21T22:34:26.348Z
1806, 737360, 2.780742, 2021-06-21T22:34:41.358Z
1806, 739136, 2.787440, 2021-06-21T22:34:56.405Z
1803, 739486, 2.793400, 2021-06-21T22:35:11.405Z
1844, 739098, 2.729858, 2021-06-21T22:35:26.405Z
1874, 739134, 2.686288, 2021-06-21T22:35:41.287Z
1883, 738182, 2.670005, 2021-06-21T22:35:56.287Z
1812, 740488, 2.783292, 2021-06-21T22:36:11.288Z
1820, 740052, 2.769426, 2021-06-21T22:36:26.291Z
1792, 739148, 2.809263, 2021-06-21T22:36:41.291Z
1806, 736864, 2.778872, 2021-06-21T22:36:56.291Z
1838, 739740, 2.741148, 2021-06-21T22:37:11.291Z
1778, 739430, 2.832463, 2021-06-21T22:37:26.293Z
1828, 739030, 2.753498, 2021-06-21T22:37:41.293Z
1810, 740200, 2.785284, 2021-06-21T22:37:56.295Z
1836, 735752, 2.729340, 2021-06-21T22:38:11.295Z
1826, 737910, 2.752337, 2021-06-21T22:38:26.296Z
1808, 740116, 2.788048, 2021-06-21T22:38:41.298Z
1840, 736668, 2.726798, 2021-06-21T22:38:56.298Z
1832, 738396, 2.745129, 2021-06-21T22:39:11.303Z
1848, 740108, 2.727672, 2021-06-21T22:39:26.304Z
1850, 738650, 2.719355, 2021-06-21T22:39:41.318Z
1832, 740340, 2.752356, 2021-06-21T22:39:56.302Z
1778, 737914, 2.826656, 2021-06-21T22:40:11.308Z
1808, 739108, 2.784251, 2021-06-21T22:40:26.303Z
1826, 741268, 2.764862, 2021-06-21T22:40:41.317Z
1808, 740920, 2.791077, 2021-06-21T22:40:56.307Z
1836, 738972, 2.741285, 2021-06-21T22:41:11.331Z
1800, 738962, 2.796073, 2021-06-21T22:41:26.340Z
1803, 738432, 2.789418, 2021-06-21T22:41:41.369Z
1790, 738728, 2.810803, 2021-06-21T22:41:56.379Z
1808, 739336, 2.785110, 2021-06-21T22:42:11.434Z
1818, 740768, 2.775155, 2021-06-21T22:42:26.310Z
1844, 741594, 2.739077, 2021-06-21T22:42:41.311Z
1810, 740684, 2.787105, 2021-06-21T22:42:56.311Z
1834, 738698, 2.743257, 2021-06-21T22:43:11.313Z
1848, 738766, 2.722725, 2021-06-21T22:43:26.313Z
1860, 738932, 2.705767, 2021-06-21T22:43:41.400Z
1808, 737456, 2.778028, 2021-06-21T22:43:56.405Z
1796, 740500, 2.808133, 2021-06-21T22:44:11.445Z
1808, 741188, 2.792087, 2021-06-21T22:44:26.438Z
1842, 739880, 2.735713, 2021-06-21T22:44:41.317Z
1838, 739688, 2.740956, 2021-06-21T22:44:56.319Z
1810, 742512, 2.793983, 2021-06-21T22:45:11.319Z
1858, 741222, 2.717074, 2021-06-21T22:45:26.327Z
1830, 740848, 2.757255, 2021-06-21T22:45:41.342Z
1812, 737950, 2.773752, 2021-06-21T22:45:56.332Z
1810, 739262, 2.781754, 2021-06-21T22:46:11.326Z
1832, 738258, 2.744616, 2021-06-21T22:46:26.324Z
1828, 738882, 2.752947, 2021-06-21T22:46:41.345Z
1812, 739682, 2.780262, 2021-06-21T22:46:56.347Z
1792, 742444, 2.821790, 2021-06-21T22:47:11.326Z
1856, 738410, 2.709683, 2021-06-21T22:47:26.328Z
1856, 740538, 2.717492, 2021-06-21T22:47:41.367Z
1822, 741938, 2.773436, 2021-06-21T22:47:56.344Z
1834, 739282, 2.745426, 2021-06-21T22:48:11.330Z
1834, 742190, 2.756225, 2021-06-21T22:48:26.331Z
1782, 739486, 2.826319, 2021-06-21T22:48:41.332Z
1816, 739080, 2.771881, 2021-06-21T22:48:56.332Z
1816, 738810, 2.770868, 2021-06-21T22:49:11.334Z
1816, 741382, 2.780514, 2021-06-21T22:49:26.334Z
1826, 742220, 2.768412, 2021-06-21T22:49:41.342Z
1866, 740200, 2.701695, 2021-06-21T22:49:56.345Z
1842, 739864, 2.735654, 2021-06-21T22:50:11.381Z
1834, 740290, 2.749169, 2021-06-21T22:50:26.395Z
1826, 740072, 2.760401, 2021-06-21T22:50:41.386Z
1822, 738554, 2.760786, 2021-06-21T22:50:56.407Z
1834, 740394, 2.749555, 2021-06-21T22:51:11.543Z
1864, 739418, 2.701737, 2021-06-21T22:51:26.341Z
1864, 738698, 2.699106, 2021-06-21T22:51:41.342Z
1822, 741022, 2.770012, 2021-06-21T22:51:56.343Z
1822, 738208, 2.759493, 2021-06-21T22:52:11.438Z
1836, 739498, 2.743237, 2021-06-21T22:52:26.347Z
