1.249657, 2021-05-26T18:53:48.209Z
1.285702, 2021-05-26T18:53:52.146Z
1.262210, 2021-05-26T18:53:56.147Z
1.681644, 2021-05-26T18:54:00.149Z
1.222576, 2021-05-26T18:54:04.150Z
1.192589, 2021-05-26T18:54:08.150Z
1.271945, 2021-05-26T18:54:12.151Z
1.266091, 2021-05-26T18:54:16.155Z
1.264569, 2021-05-26T18:54:20.326Z
1.246509, 2021-05-26T18:54:24.172Z
1.209997, 2021-05-26T18:54:28.170Z
1.273283, 2021-05-26T18:54:32.165Z
1.260667, 2021-05-26T18:54:36.159Z
1.266472, 2021-05-26T18:54:40.189Z
1.284451, 2021-05-26T18:54:44.167Z
1.274240, 2021-05-26T18:54:48.201Z
1.302168, 2021-05-26T18:54:52.165Z
1.307686, 2021-05-26T18:54:56.197Z
1.280650, 2021-05-26T18:55:00.165Z
1.219410, 2021-05-26T18:55:04.165Z
1.291850, 2021-05-26T18:55:08.165Z
1.286074, 2021-05-26T18:55:12.168Z
1.278752, 2021-05-26T18:55:16.167Z
1.262505, 2021-05-26T18:55:20.201Z
1.290174, 2021-05-26T18:55:24.178Z
1.218842, 2021-05-26T18:55:28.171Z
1.255097, 2021-05-26T18:55:32.174Z
1.226190, 2021-05-26T18:55:36.199Z
1.215683, 2021-05-26T18:55:40.199Z
1.305150, 2021-05-26T18:55:44.195Z
1.236409, 2021-05-26T18:55:48.193Z
1.295789, 2021-05-26T18:55:52.246Z
1.269763, 2021-05-26T18:55:56.214Z
1.286180, 2021-05-26T18:56:00.223Z
1.267391, 2021-05-26T18:56:04.495Z
1.241800, 2021-05-26T18:56:08.181Z
1.254342, 2021-05-26T18:56:12.181Z
1.182978, 2021-05-26T18:56:16.181Z
1.276947, 2021-05-26T18:56:20.210Z
1.275538, 2021-05-26T18:56:24.184Z
1.222717, 2021-05-26T18:56:28.186Z
1.248323, 2021-05-26T18:56:32.185Z
1.286799, 2021-05-26T18:56:36.186Z
1.265811, 2021-05-26T18:56:40.187Z
1.256043, 2021-05-26T18:56:44.188Z
1.258269, 2021-05-26T18:56:48.189Z
1.209309, 2021-05-26T18:56:52.190Z
1.241346, 2021-05-26T18:56:56.191Z
1.260596, 2021-05-26T18:57:00.230Z
1.226608, 2021-05-26T18:57:04.193Z
1.243321, 2021-05-26T18:57:08.204Z
1.199323, 2021-05-26T18:57:12.214Z
1.265126, 2021-05-26T18:57:16.199Z
1.242344, 2021-05-26T18:57:20.352Z
1.283098, 2021-05-26T18:57:24.275Z
1.257366, 2021-05-26T18:57:28.268Z
1.237476, 2021-05-26T18:57:32.498Z
1.278659, 2021-05-26T18:57:36.210Z
1.251549, 2021-05-26T18:57:40.249Z
1.282440, 2021-05-26T18:57:44.243Z
1.246797, 2021-05-26T18:57:48.277Z
1.250167, 2021-05-26T18:57:52.254Z
1.253339, 2021-05-26T18:57:56.334Z
1.222665, 2021-05-26T18:58:00.269Z
1.241734, 2021-05-26T18:58:04.222Z
1.273978, 2021-05-26T18:58:08.409Z
1.250414, 2021-05-26T18:58:12.339Z
1.282446, 2021-05-26T18:58:16.237Z
1.282014, 2021-05-26T18:58:20.267Z
1.268661, 2021-05-26T18:58:24.220Z
1.741852, 2021-05-26T18:58:28.221Z
0.970574, 2021-05-26T18:58:32.227Z
1.223660, 2021-05-26T18:58:36.284Z
1.248887, 2021-05-26T18:58:40.224Z
1.275454, 2021-05-26T18:58:44.217Z
1.221595, 2021-05-26T18:58:48.224Z
1.248354, 2021-05-26T18:58:52.229Z
1.246503, 2021-05-26T18:58:56.229Z
1.239123, 2021-05-26T18:59:00.264Z
1.216738, 2021-05-26T18:59:04.233Z
