period_high, period_low, ratio, date
1904, 739714, 2.646037, 2021-06-21T23:33:11.488Z
1876, 740346, 2.687824, 2021-06-21T23:33:26.487Z
1876, 739402, 2.684397, 2021-06-21T23:33:41.489Z
1990, 738936, 2.529022, 2021-06-21T23:33:56.489Z
1899, 741194, 2.658311, 2021-06-21T23:34:11.496Z
1850, 738744, 2.719701, 2021-06-21T23:34:26.491Z
1868, 738952, 2.694252, 2021-06-21T23:34:41.509Z
1980, 740606, 2.547540, 2021-06-21T23:34:56.492Z
1996, 742390, 2.533206, 2021-06-21T23:35:11.498Z
1916, 741450, 2.635635, 2021-06-21T23:35:26.529Z
1916, 740150, 2.631014, 2021-06-21T23:35:41.539Z
1876, 738756, 2.682052, 2021-06-21T23:35:56.496Z
1856, 740714, 2.718138, 2021-06-21T23:36:11.497Z
1840, 741430, 2.744424, 2021-06-21T23:36:26.498Z
1858, 741286, 2.717309, 2021-06-21T23:36:41.506Z
1876, 741866, 2.693342, 2021-06-21T23:36:56.499Z
1870, 742748, 2.705196, 2021-06-21T23:37:11.501Z
1872, 740526, 2.694222, 2021-06-21T23:37:26.501Z
1980, 740710, 2.547897, 2021-06-21T23:37:41.502Z
1878, 739030, 2.680189, 2021-06-21T23:37:56.503Z
